2026-01-08 03:30:34.989 INFO  (JettyShutdownThread) [c: s: r: x: t:] o.e.j.s.Server Stopped Server@1de5f0ef{STOPPING}[10.0.26,sto=0]
2026-01-08 03:30:35.047 INFO  (JettyShutdownThread) [c: s: r: x: t:] o.e.j.s.AbstractConnector Stopped ServerConnector@3b220bcb{HTTP/1.1, (http/1.1, h2c)}{0.0.0.0:8983}
2026-01-08 03:30:35.249 INFO  (JettyShutdownThread) [c: s: r: x: t:] o.a.s.c.CoreContainer Shutting down CoreContainer instance=70165127
2026-01-08 03:30:35.269 INFO  (coreCloseExecutor-27-thread-1) [c: s: r: x:mycore t:] o.a.s.c.SolrCore CLOSING SolrCore org.apache.solr.core.SolrCore@7b6ec4f mycore
2026-01-08 03:30:35.269 INFO  (coreCloseExecutor-27-thread-2) [c: s: r: x:activities t:] o.a.s.c.SolrCore CLOSING SolrCore org.apache.solr.core.SolrCore@26d4d33b activities
2026-01-08 03:30:35.275 INFO  (coreCloseExecutor-27-thread-2) [c: s: r: x:activities t:] o.a.s.m.SolrMetricManager Closing metric reporters for registry=solr.core.activities tag=SolrCore@26d4d33b
2026-01-08 03:30:35.369 INFO  (coreCloseExecutor-27-thread-1) [c: s: r: x:mycore t:] o.a.s.m.SolrMetricManager Closing metric reporters for registry=solr.core.mycore tag=SolrCore@7b6ec4f
2026-01-08 03:30:35.447 INFO  (coreCloseExecutor-27-thread-1) [c: s: r: x:mycore t:] o.a.s.u.DirectUpdateHandler2 Committing on IndexWriter.close()  ... SKIPPED (unnecessary).
2026-01-08 03:30:35.447 INFO  (coreCloseExecutor-27-thread-2) [c: s: r: x:activities t:] o.a.s.u.DirectUpdateHandler2 Committing on IndexWriter.close()  ... SKIPPED (unnecessary).
2026-01-08 03:30:35.512 INFO  (JettyShutdownThread) [c: s: r: x: t:] o.a.s.m.SolrMetricManager Closing metric reporters for registry=solr.node tag=null
2026-01-08 03:30:35.517 INFO  (JettyShutdownThread) [c: s: r: x: t:] o.a.s.m.SolrMetricManager Closing metric reporters for registry=solr.jvm tag=null
2026-01-08 03:30:35.523 INFO  (JettyShutdownThread) [c: s: r: x: t:] o.a.s.m.SolrMetricManager Closing metric reporters for registry=solr.jetty tag=null
2026-01-08 03:30:35.549 INFO  (JettyShutdownThread) [c: s: r: x: t:] o.e.j.s.h.ContextHandler Stopped o.e.j.w.WebAppContext@34abdee4{solr-jetty-context.xml,/solr,null,STOPPED}{/opt/solr-9.10.0/server/solr-webapp/webapp}
